stationid,tmc
1018,114+04456
1019,114P04458
1020,114P04459
1021,114+04461
1024,114+04464
1025,114+04465
1026,114N04465
1027,114-04463
1028,114-04462
1030,114N04461
1031,114N04460
1032,114-04458
1033,114N04458
1034,114N04457
1035,114-04454
1049,114-04403
1050,114N04403
1051,114N04398
1052,114N04397
1140,114+04402
1141,114N04401
1143,114-04398
1147,114N04463
230,114P04403
232,114+04404
3105,114-04399
3106,114+04401
3107,114N04400
3121,114-04456
3123,114+04462
3124,114P04462
3164,114P04399
3169,114+04457
3170,114P04457
3171,114+04458
3173,114-04461
