stationid,portal_highwayname,portal_direction,portal_seg_len_m,tmc,inrix_route_id,inrix_standardized_direction,inrix_seg_len_m
1018,I-5,NORTH,1493.2326384244855,114+04456,I-5,NORTH,193.0968530078586
1019,I-5,NORTH,1051.441798465996,114P04458,I-5,NORTH,442.000828261396
1020,I-5,NORTH,1441.0499186767472,114P04459,I-5,NORTH,1168.725681789475
1021,I-5,NORTH,1356.5198023424236,114+04461,I-5,NORTH,319.6646520461061
1024,I-5,NORTH,1567.8835948558908,114+04464,I-5,NORTH,86.18804071416568
1025,I-5,NORTH,1637.1469366477857,114+04465,I-5,NORTH,689.2863691622958
1026,I-5,SOUTH,1715.2838284541879,114N04465,I-5,SOUTH,543.4241360617782
1027,I-5,SOUTH,1517.3997408055102,114-04463,I-5,SOUTH,508.00618936584993
1028,I-5,SOUTH,789.342873651241,114-04462,I-5,SOUTH,955.7170693459545
1030,I-5,SOUTH,826.603022367985,114N04461,I-5,SOUTH,368.99306901356107
1031,I-5,SOUTH,1480.7060984084974,114N04460,I-5,SOUTH,842.8649331098786
1032,I-5,SOUTH,1135.0166283310837,114-04458,I-5,SOUTH,198.78826411738726
1033,I-5,SOUTH,689.7758199071299,114N04458,I-5,SOUTH,254.39526474352408
1034,I-5,SOUTH,1075.1167408207582,114N04457,I-5,SOUTH,1281.5270087813585
1035,I-5,SOUTH,1688.4803193682394,114-04454,I-5,SOUTH,488.11162925366096
1049,I-205,SOUTH,1788.9246370135077,114-04403,I-205,SOUTH,1020.6353021343695
1050,I-205,SOUTH,1592.0075001353573,114N04403,I-205,SOUTH,1469.7359454021607
1051,I-205,SOUTH,2065.6930194306697,114N04398,I-205,SOUTH,886.5611882362598
1052,I-205,SOUTH,1584.9925887716363,114N04397,I-205,SOUTH,1816.145414337007
1140,I-205,NORTH,2614.3240942710822,114+04402,I-205,NORTH,371.0777022362685
1141,I-205,SOUTH,1639.4221215708474,114N04401,I-205,SOUTH,272.6584817076661
1143,I-205,SOUTH,1621.3114348391596,114-04398,I-205,SOUTH,1164.7244231810973
1147,I-5,SOUTH,1578.6115177173026,114N04463,I-5,SOUTH,1247.8773703266484
1501,SR 14,EAST,2091.622625232813,114-04365,WA-14,EAST,3449.4289413969955
1502,SR 14,WEST,2092.248283452407,114P04366,WA-14,WEST,2802.5932594295577
1507,WA I-5,SOUTH,1163.8043241956716,114-04470,I-5,SOUTH,934.0353328344554
1508,WA I-5,NORTH,1183.9680377886048,114P04471,I-5,NORTH,1421.6464139988811
1511,WA I-5,SOUTH,1586.8479083770412,114N04473,I-5,SOUTH,1551.5681789795626
1512,WA I-5,NORTH,1594.1559053244828,114P04473,I-5,NORTH,1814.9504951008792
1514,WA I-5,NORTH,6421.345020392892,114+04474,I-5,NORTH,2403.8156583555206
1526,SR 14,WEST,2896.753084535156,114+04365,WA-14,WEST,1135.0452049712646
1527,SR 14,EAST,2908.9950645692597,114N04364,WA-14,EAST,1146.7779485802432
1528,SR 14,WEST,2274.462001152977,114P04363,WA-14,WEST,659.3019025395165
1529,SR 14,EAST,2284.350529740833,114-04362,WA-14,EAST,60.95414348721904
1552,WA I-5,NORTH,1363.3516085871183,114+04472,I-5,NORTH,1738.0506330756014
1553,WA I-5,SOUTH,1364.2018812432855,114-04471,I-5,SOUTH,1811.6303729327988
1554,WA I-5,NORTH,1306.2668170879945,114P04472,I-5,NORTH,1673.0935524412478
1555,WA I-5,SOUTH,1308.2539674196278,114N04472,I-5,SOUTH,1593.315598206294
1556,WA I-5,NORTH,1183.2793055309644,114+04473,I-5,NORTH,813.6979256910839
1557,WA I-5,SOUTH,1193.7783298078245,114-04472,I-5,SOUTH,839.2489721014961
1583,WA I-5,SOUTH,1424.3264963055512,114N04467,I-5,SOUTH,941.0592255681042
1600,SR 14,WEST,1734.2214888465833,114+04366,WA-14,WEST,1759.658884369331
1601,SR 14,EAST,2190.6827023217174,114-04364,WA-14,EAST,2200.247469967432
1602,SR 14,WEST,2183.4772796558473,114P04365,WA-14,WEST,2233.100707657446
1609,WA I-205,SOUTH,2142.6040241648843,114-04404,I-205,SOUTH,716.885116997395
1627,WA I-5,NORTH,1299.1058210700673,114+04470,I-5,NORTH,581.2555104547832
1628,WA I-5,SOUTH,1288.207411964415,114-04469,I-5,SOUTH,358.4428427761565
1629,SR 14,EAST,2407.8178243049338,114N04366,WA-14,EAST,1785.4294762180862
1639,WA I-205,NORTH,3403.918274929614,114P04407,I-205,NORTH,2320.252638052396
1640,WA I-205,SOUTH,3400.8816259235036,114N04407,I-205,SOUTH,2321.7750802085357
230,I-205,NORTH,1813.8388698071963,114P04403,I-205,NORTH,1543.6369288462452
232,I-205,NORTH,1467.4140954298903,114+04404,I-205,NORTH,1005.3658711921968
3105,I-205,SOUTH,2512.4372355436726,114-04399,I-205,SOUTH,948.267945349369
3106,I-205,NORTH,1896.3760278287814,114+04401,I-205,NORTH,883.987416358982
3107,I-205,SOUTH,1921.8396941404362,114N04400,I-205,SOUTH,1700.7107417132295
3121,I-5,SOUTH,1058.7839151844494,114-04456,I-5,SOUTH,752.0152206344534
3123,I-5,NORTH,936.3028955938754,114+04462,I-5,NORTH,1068.0368535345967
3124,I-5,NORTH,1095.240069521086,114P04462,I-5,NORTH,642.5729148905167
3164,I-205,NORTH,2646.464560354771,114P04399,I-205,NORTH,1037.1973220500463
3169,I-5,NORTH,1108.2006527240976,114+04457,I-5,NORTH,233.81042081361187
3170,I-405,NORTH,1913.2156319679546,114P04457,I-5,NORTH,1600.209994698136
3171,I-5,NORTH,1606.8743236770194,114+04458,I-5,NORTH,796.5025389980694
3173,I-5,SOUTH,432.49646272963946,114-04461,I-5,SOUTH,712.7649207359773
